"dt","average_temperature","country"
"2013",-2.569,"Åland"
"2013",-1.782,"Åland"
"2013",-4.779,"Åland"
"2013",1.701,"Åland"
"2013",10.327,"Åland"
"2013",14.068,"Åland"
"2013",16.447,"Åland"
"2013",16.425,"Åland"
"2013",2.241,"Afghanistan"
"2013",4.253,"Afghanistan"
"2013",8.46,"Afghanistan"
"2013",14.845,"Afghanistan"
"2013",21.355,"Afghanistan"
"2013",26.879,"Afghanistan"
"2013",28.205,"Afghanistan"
"2013",26.031,"Afghanistan"
"2013",22.138,"Africa"
"2013",23.533,"Africa"
"2013",25.717,"Africa"
"2013",25.52,"Africa"
"2013",26.671,"Africa"
"2013",26.324,"Africa"
"2013",25.856,"Africa"
"2013",25.911,"Africa"
"2013",4.412,"Albania"
"2013",5.769,"Albania"
"2013",8.423,"Albania"
"2013",13.538,"Albania"
"2013",18.355,"Albania"
"2013",21.07,"Albania"
"2013",23.591,"Albania"
"2013",24.793,"Albania"
"2013",12.781,"Algeria"
"2013",14.211,"Algeria"
"2013",21.027,"Algeria"
"2013",24.242,"Algeria"
"2013",28.482,"Algeria"
"2013",32.288,"Algeria"
"2013",34.707,"Algeria"
"2013",33.234,"Algeria"
"2013",27.241,"American Samoa"
"2013",27.793,"American Samoa"
"2013",27.683,"American Samoa"
"2013",27.824,"American Samoa"
"2013",28.045,"American Samoa"
"2013",27.65,"American Samoa"
"2013",26.902,"American Samoa"
"2013",27,"American Samoa"
"2013",4.757,"Andorra"
"2013",3.988,"Andorra"
"2013",8.03,"Andorra"
"2013",9.97,"Andorra"
"2013",11.91,"Andorra"
"2013",17.01,"Andorra"
"2013",22.003,"Andorra"
"2013",20.795,"Andorra"
"2013",24.33,"Angola"
"2013",24.785,"Angola"
"2013",24.576,"Angola"
"2013",23.175,"Angola"
"2013",21.861,"Angola"
"2013",20.103,"Angola"
"2013",19.656,"Angola"
"2013",21.577,"Angola"
"2013",25.919,"Anguilla"
"2013",25.899,"Anguilla"
"2013",26.187,"Anguilla"
"2013",26.679,"Anguilla"
"2013",27.667,"Anguilla"
"2013",28.414,"Anguilla"
