"country","2019_GDP","2019_UNEMP","2019_GNI","Class"
"Albania","2.1","11.5",5230,"Upper Middle Income"
"Algeria","0.8","11.4",4010,"Lower Middle Income"
"Andorra","2","1.8",46040,"High Income"
"Argentina","-2","9.8",11260,"Upper Middle Income"
"Armenia","7.6","18.3",4660,"Upper Middle Income"
"Aruba","-2.1","5.2",28920,"High Income"
"Australia","2","5.2",54910,"High Income"
"Austria","1.5","4.8",51010,"High Income"
"Azerbaijan","2.5","4.8",4510,"Upper Middle Income"
"Bahamas, The","0.7","10.1",32420,"High Income"
"Bahrain","2.2","4.7",22230,"High Income"
"Barbados","-1.3","10.1",17130,"High Income"
"Belarus","1.4","4.2",6370,"Upper Middle Income"
"Belgium","2.1","5.4",48050,"High Income"
"Belize","2","9",4610,"Upper Middle Income"
"Bhutan","4.4","2.3",3150,"Lower Middle Income"
"Bolivia","2.2","4",3520,"Lower Middle Income"
"Bosnia and Herzegovina","2.8","15.7",6170,"Upper Middle Income"
"Brazil","1.2","12",9220,"Upper Middle Income"
"Brunei Darussalam","3.9","6.8",32230,"High Income"
"Bulgaria","4","4.3",9500,"Upper Middle Income"
"Cabo Verde","5.7","8.5",3630,"Lower Middle Income"
"Canada","1.9","5.8",46540,"High Income"
"Chile","0.8","7.2",14900,"High Income"
"Colombia","3.2","10.5",6570,"Upper Middle Income"
"Costa Rica","2.4","12.4",12120,"Upper Middle Income"
"Croatia","3.5","7.8",15540,"High Income"
"Cyprus","5.3","7.1",28600,"High Income"
"Denmark","2.1","5",63460,"High Income"
"Dominican Republic","5.1","6.2",8100,"Upper Middle Income"
"Ecuador","0","3.8",6090,"Upper Middle Income"
"El Salvador","2.6","6.3",3980,"Lower Middle Income"
"Estonia","4.1","4.4",23050,"High Income"
"Euro area","1.6","7.6",40312.11,"High Income"
"Fiji","-0.4","4.5",5800,"Upper Middle Income"
"Finland","1.2","6.7",49940,"High Income"
"France","1.8","8.4",42550,"High Income"
"Georgia","5","17.6",4690,"Upper Middle Income"
"Germany","1.1","3.2",49190,"High Income"
"Greece","1.8","17.3",19670,"High Income"
"Honduras","2.7","5.4",2390,"Lower Middle Income"
"Hungary","4.6","3.3",16520,"High Income"
"Iceland","2.4","3.9",72900,"High Income"
"Indonesia","5","5.2",4050,"Lower Middle Income"
"Ireland","4.9","5",63300,"High Income"
"Israel","3.8","3.8",43540,"High Income"
"Italy","0.5","9.9",34940,"High Income"
"Jamaica","1","7.7",5250,"Upper Middle Income"
"Japan","-0.2","2.4",42010,"High Income"
"Jordan","2","19.1",4410,"Upper Middle Income"
"Kazakhstan","4.5","4.8",8820,"Upper Middle Income"
"Kosovo","4.8","25.7",4640,"Upper Middle Income"
"Kuwait","-0.6","1.2",36200,"High Income"
"Kyrgyz Republic","4.6","6.6",1240,"Lower Middle Income"
"Latvia","2.5","6.3",17810,"High Income"
"Lithuania","4.6","6.3",19060,"High Income"
"Luxembourg","3.3","5.4",77110,"High Income"
"Malaysia","4.4","3.3",11260,"Upper Middle Income"
"Malta","5.9","3.6",29330,"High Income"
"Mauritius","3","6.7",12840,"Upper Middle Income"
"Mexico","-0.2","3.5",9470,"Upper Middle Income"
"Moldova","3.7","5.1",4580,"Upper Middle Income"
"Mongolia","5.6","10",3850,"Lower Middle Income"
"Morocco","2.6","10.2",3200,"Lower Middle Income"
"Netherlands","2","4.4",53230,"High Income"
"New Zealand","2.9","4.2",43050,"High Income"
"Nicaragua","-3.7","6.1",1890,"Lower Middle Income"
"Nigeria","2.2",NA,2030,"Lower Middle Income"
"North Macedonia","3.9","17.3",5890,"Upper Middle Income"
"Norway","0.7","3.7",81670,"High Income"
"Pakistan","3.1","6.9",1620,"Lower Middle Income"
"Panama","3","7.1",14920,"High Income"
"Paraguay","-0.4","6.6",5510,"Upper Middle Income"
"Peru","2.2","6.6",6840,"Upper Middle Income"
"Philippines","6.1","5.1",3850,"Lower Middle Income"
"Poland","4.7","3.3",15360,"High Income"
"Portugal","2.7","6.7",23200,"High Income"
"Puerto Rico","1.5","8.3",22060,"High Income"
"Romania","4.2","3.9",12620,"Upper Middle Income"
"Russian Federation","2.2","4.6",11280,"Upper Middle Income"
"Saudi Arabia","0.3","5.7",23220,"High Income"
"Serbia","4.3","11.6",7040,"Upper Middle Income"
"Seychelles","3.1","3",16680,"High Income"
"Singapore","1.1","2.3",58060,"High Income"
"Slovak Republic","2.6","5.7",19250,"High Income"
"Slovenia","3.3","4.5",25980,"High Income"
"South Africa","0.1","28.7",6670,"Upper Middle Income"
"Spain","2.1","14.1",30380,"High Income"
"Sri Lanka","2.3","4.8",4010,"Lower Middle Income"
"Sudan","-2.5","22.1",940,"Low Income"
"Suriname","1.1","8.8",6190,"Upper Middle Income"
"Sweden","2","7",56420,"High Income"
"Switzerland","1.2","2.3",84260,"High Income"
"Tajikistan","7.4",NA,1070,"Low Income"
"Thailand","2.2","1",7250,"Upper Middle Income"
"Tunisia","1.5","14.9",3620,"Lower Middle Income"
"Ukraine","3.2","8.5",3310,"Lower Middle Income"
"United Kingdom","1.7","3.8",43460,"High Income"
"United States","2.3","3.7",65970,"High Income"
"Uruguay","0.4","8.9",17770,"High Income"
"Uzbekistan","5.7","9",1870,"Lower Middle Income"
"Vietnam","7.2","2.2",3280,"Lower Middle Income"
"West Bank and Gaza","1.4","25.4",4270,"Upper Middle Income"
